Veri Seti,Model,Train Accuracy,Test Accuracy,Precision,Recall,F1-score,TN,FP,FN,TP
IBM HR Analytics,Logistic Regression,0.9022108843537415,0.8605442176870748,0.6153846153846154,0.3404255319148936,0.4383561643835616,237,10,31,16
IBM HR Analytics,Decision Tree,1.0,0.7653061224489796,0.3103448275862069,0.3829787234042553,0.34285714285714286,207,40,29,18
IBM HR Analytics,Random Forest,1.0,0.8333333333333334,0.4166666666666667,0.10638297872340426,0.1694915254237288,240,7,42,5
Telco Customer Churn,Logistic Regression,0.8042666666666667,0.8038379530916845,0.6475903614457831,0.5748663101604278,0.6090651558073654,916,117,159,215
Telco Customer Churn,Decision Tree,0.9987555555555555,0.7185501066098081,0.4701086956521739,0.4625668449197861,0.46630727762803237,838,195,201,173
Telco Customer Churn,Random Forest,0.9987555555555555,0.7896233120113717,0.6258064516129033,0.5187165775401069,0.5672514619883041,917,116,180,194
Mushroom Classification,Logistic Regression,1.0,1.0,1.0,1.0,1.0,842,0,0,783
Mushroom Classification,Decision Tree,1.0,1.0,1.0,1.0,1.0,842,0,0,783
Mushroom Classification,Random Forest,1.0,1.0,1.0,1.0,1.0,842,0,0,783
